Customer_ID,Customer_Name,Age,Gender,State,Account_Type,Account_Balance_NGN,Monthly_Income_NGN,Employment_Status,Years_With_Bank,Has_Loan,Loan_Type,Loan_Amount_NGN,Credit_Score,Monthly_Transactions,Digital_Banking_User,Account_Opening_Date
NB_000001,Customer_1,26,Female,Kano,Savings,22101,53817,Employed,0.2,False,,0,619,11,True,2010-01-01 00:00:00.000000000
NB_000002,Customer_2,50,Male,Delta,Current,2475636,425211,Employed,1.7,False,,0,666,8,True,2010-01-03 13:22:28.874437218
NB_000003,Customer_3,18,Female,Lagos,Savings,286545,3247151,Employed,1.1,True,,2048978,581,12,False,2010-01-06 02:44:57.748874437
NB_000004,Customer_4,45,Female,Rivers,Current,28466,178758,Retired,0.9,True,,611315,735,18,False,2010-01-08 16:07:26.623311655
NB_000005,Customer_5,54,Male,Kano,Savings,160904,312650,Student,0.8,False,,0,536,14,False,2010-01-11 05:29:55.497748874
NB_000006,Customer_6,73,Female,Oyo,Savings,46126,827676,Employed,2.7,False,,0,531,21,True,2010-01-13 18:52:24.372186093
NB_000007,Customer_7,59,Female,Rivers,Savings,34404,322185,Employed,0.8,False,,0,709,8,True,2010-01-16 08:14:53.246623311
NB_000008,Customer_8,19,Male,Anambra,Savings,541077,1438759,Employed,4.5,True,,625883,702,28,True,2010-01-18 21:37:22.121060530
NB_000009,Customer_9,53,Male,Lagos,Fixed Deposit,2397,1065807,Retired,5.4,False,,0,569,13,True,2010-01-21 10:59:50.995497748
NB_000010,Customer_10,28,Male,Kaduna,Student,60718,296707,Self-Employed,2.8,False,,0,677,20,True,2010-01-24 00:22:19.869934967
NB_000011,Customer_11,20,Male,Anambra,Current,11091,165147,Employed,1.1,False,,0,590,14,True,2010-01-26 13:44:48.744372186
NB_000012,Customer_12,50,Female,Kano,Fixed Deposit,162938,1579298,Employed,9.6,False,,0,444,8,True,2010-01-29 03:07:17.618809404
NB_000013,Customer_13,55,Male,Oyo,Savings,638021,623251,Employed,2.0,False,,0,691,15,False,2010-01-31 16:29:46.493246623
NB_000014,Customer_14,67,Male,Osun,Current,69391,2337254,Employed,1.2,False,,0,737,23,False,2010-02-03 05:52:15.367683841
